Area,Week,Number - Total Housing Insecurity (Missed Payment or Low Confidence),Margin of Error +/-,Percent - Percent Housing Insecurity (Missed Payment or Low Confidence),Percent Margin of Error +/-,Measure Universe,Total Population age 18+
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","2 - May 7-12, 2020",835893,226954,27.6,5.9,3024557,"4,376,080"
"Phoenix-Mesa-Chandler, AZ Metro Area","2 - May 7-12, 2020",536838,144929,18.2,5.2,2944684,"3,820,468"
"Riverside-San Bernardino-Ontario, CA Metro Area","2 - May 7-12, 2020",1027687,329130,33.6,8.3,3056235,"4,423,647"
"San Francisco-Oakland-Berkeley, CA Metro Area","2 - May 7-12, 2020",790225,270960,24.5,7,3222683,"4,183,194"
"Seattle-Tacoma-Bellevue, WA Metro Area","2 - May 7-12, 2020",343079,116332,14.9,4.6,2307983,"3,105,929"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","2 - May 7-12, 2020",526790,114472,17.2,3.6,3066545,"4,235,643"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","1 - April 23-May 5, 2020",970364,154672,25.5,3.6,3809937,"5,045,522"
"Boston-Cambridge-Newton, MA-NH Metro Area","1 - April 23-May 5, 2020",514853,105660,18.9,3.4,2721150,"3,825,300"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","1 - April 23-May 5, 2020",1549065,261563,32.3,4.8,4791018,"6,711,809"
"Dallas-Fort Worth-Arlington, TX Metro Area","1 - April 23-May 5, 2020",1195417,338723,29.1,6.2,4102709,"6,042,623"
"Detroit-Warren-Dearborn, MI Metro Area","1 - April 23-May 5, 2020",531714,95952,23.3,3.7,2280077,"3,334,812"
"Houston-The Woodlands-Sugar Land, TX Metro Area","1 - April 23-May 5, 2020",1116452,186682,32.9,4.8,3393534,"5,352,295"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","1 - April 23-May 5, 2020",2681221,606122,31.1,5.5,8619013,"11,065,175"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","1 - April 23-May 5, 2020",1279254,177172,40.3,4.5,3171465,"4,764,380"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","1 - April 23-May 5, 2020",3608585,432949,36.5,3.8,9881929,"13,659,207"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","1 - April 23-May 5, 2020",746570,138781,24,4,3108034,"4,788,219"
"Phoenix-Mesa-Chandler, AZ Metro Area","1 - April 23-May 5, 2020",640158,139763,22.8,4.5,2809457,"3,864,078"
"Riverside-San Bernardino-Ontario, CA Metro Area","1 - April 23-May 5, 2020",1073936,280401,31.9,6.3,3371243,"4,577,129"
"San Francisco-Oakland-Berkeley, CA Metro Area","1 - April 23-May 5, 2020",426310,119796,16,4,2667173,"3,431,059"
"Seattle-Tacoma-Bellevue, WA Metro Area","1 - April 23-May 5, 2020",375927,70488,15.5,2.5,2420174,"3,195,155"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","1 - April 23-May 5, 2020",812621,95039,22.9,2.6,3553061,"4,762,361"
"Source: U.S. Census Bureau, Household Pulse Survey",,,,,,,
